,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name
284,['University of Utah'],United States,http://www.mastersportal.eu/studies/120770/physics.html,msc,24,months,,,3819,USD,credit,80,"Approximately 20 students enter the graduate program annually, with an even split between those entering the M.S. and PhD programs. The M.S. degree in the Department of Physics & Astronomy requires a thesis or non-thesis degree and provides comprehensive course and research experience.",Physics
285,['Texas Tech University'],United States,http://www.mastersportal.eu/studies/127341/applied-physics.html,msc,24,months,,,16746,USD,module,79,"The Department of Physics at Texas Tech University invites applications for graduate study in Physics, leading to the masters or doctoral degree in Physics or Applied Physics.",Applied Physics
286,['Virginia Commonwealth University'],United States,http://www.mastersportal.eu/studies/117317/medical-physics.html,msc,,,,,,,,,The Master of Science in Medical Physics offers students course work and practical clinical training in physics as it is applied to the diagnosis and treatment of human diseases. The mission of the master’s program is to serve the commonwealth of Virginia and the nation by helping to meet the demand for competent medical physicists in the health care delivery setting.,Medical Physics
287,['Boston University'],United States,http://www.mastersportal.eu/studies/113071/photonics.html,meng,,,,,49176,USD,year,90,The Master of Engineering (MEng) program in Photonics is designed to prepare students for technically demanding careers in industry as well as for post-master’s graduate studies in photonics or related fields. ,Photonics
288,['Haverford College'],United States,http://www.mastersportal.eu/studies/146864/astrophysics.html,,24,months,,,66490,USD,full,100,"The concepts and methods of physics are fundamental throughout the sciences, and have produced profound scientific, philosophical, and technological developments.",Astrophysics
289,['Le Moyne College'],United States,http://www.mastersportal.eu/studies/208506/physician-assistant-studies.html,msc,24,months,,,13710,USD,semester,80,"The Le Moyne College Physician Assistant Program is dedicated to the education of students to become competent, caring, compassionate, and ethical providers of primary health care services with the supervision of a licensed physician. ",Physician Assistant Studies
290,"['School of Mathematical and Physical Sciences', 'University of Sussex']",United Kingdom,http://www.mastersportal.eu/studies/97311/particle-physics.html,msc,,,,,19200,GBP,year,,This course – delivered by our expert faculty – gives you a sound footing for further studies in this field. You can take the MSc in an experimental or theoretical mode. The Particle Physics programme  is offered at University of Sussex.,Particle Physics
291,"['Faculty of Mathematics and Physical Sciences', 'University of Leeds']",United Kingdom,http://www.mastersportal.eu/studies/71503/physics-and-business-management.html,msc,12,months,,,,,,92,"This unique interdisciplinary Professional Science Masters programme, developed in partnership between The School of Physics and Astronomy and Leeds University Business School, offers you the opportunity to develop both high level physics competencies and key business management skills. This Physics and Business Management course is offered by University of Leeds.",Physics and Business Management
292,"['Faculty of Humanities and Social Sciences', 'University of Portsmouth']",United Kingdom,http://www.mastersportal.eu/studies/38940/science-with-physics-pgce.html,,12,months,,,12600,GBP,year,,"Our PGCE courses in the Sciences (with Biology, Chemistry or Physics) will train you to teach up to GCSE level, with attention given to enhancing your subject knowledge as well as examining educational issues in teaching and learning, classroom interaction, the school curriculum and the school and society.",Science with Physics - PGCE
293,['University of Oregon'],United States,http://www.mastersportal.eu/studies/67254/physics.html,ma,,,,,24759,USD,module,88,"The Department of Physics offers graduate programs leading to the master of science degree in applied physics or to the master of arts (MA), master of science (MS), and doctor of philosophy (PhD) degrees in physics with a variety of opportunities for research.",Physics
294,['University of Rhode Island'],United States,http://www.mastersportal.eu/studies/113135/medical-physics.html,msc,24,months,,,24206,USD,year,80,"Medical physics in its simplest definition is the application and study of physics in medicine. Certified medical physicists often work with medical imaging, radiation therapy/ diagnosis, and nuclear medicine. While most focus on cancer-related topics, medical physicists work in many other disciplines of medicine including those concerned with heart disease and mental illness.",Medical Physics
295,"['Lund University', 'Faculty of Science']",Sweden,http://www.mastersportal.eu/studies/38487/physics.html,msc,24,months,120,,29705,EUR,full,90,The Master’s programme in Physics (Materials Science Specialisation) from Lund University is a flexible and interdisciplinary programme for postgraduate students with a strong interest in learning about how important properties of materials depend upon the materials’ structure and constituents.,Physics (Materials Science Specialisation)
296,"['Bogazici University', 'GEODESY DEPARTMENT OF KANDILLI OBSERVATORY AND EARTHQUAKE RESEARCH INSTITUTE']",Turkey,http://www.mastersportal.eu/studies/18706/earthquake-engineering-geodesy-and-geophysics.html,msc,24,months,,,241,EUR,semester,79,"The core elements of the MSc and PhD curriculum at department provides necessary mathematics and physics background and aiming at educating young researchers in the field seismology with a wide range of topics, such as elastic wave propagation, earthquake source mechanisms, signal processing, strong ground motion and instrumentation.","Earthquake Engineering, Geodesy, and Geophysics"
297,['Shiraz University of Medical Sciences'],Iran,http://www.mastersportal.eu/studies/195099/medical-physics.html,msc,24,months,,,2000,USD,year,72,The discovery of X-rays in the late 19th century followed by the use of other ionizing and non-ionizing radiations or the innovation and development of imaging and radiotherapy methods are some examples of this important role. Medicine is increasingly relying on medical physics. The Master of Science degree in medical physics is a postgraduate program with an emphasis on physics and technology.,Medical Physics
298,['Texas State University'],United States,http://www.mastersportal.eu/studies/128236/physics.html,msc,,,,,716,USD,credit,78,"A solid physics foundation combined with extensive, hands-on training in state-of-the art nanofabrication and characterization facilities prepares students for careers in the local high-tech industry, science education or advanced studies. Students are engaged in research and gain superior graduate education with individual faculty attention and mentoring.",Physics
299,['South Dakota School of Mines & Technology'],United States,http://www.mastersportal.eu/studies/182606/physics.html,msc,24,months,,,,,,,The mission of physics graduate program is to provide students with quality graduate instruction and research experience suitable in many physics related careers.,Physics
300,['Universiti Sains Malaysia'],Malaysia,http://www.mastersportal.eu/studies/125020/radiation-science.html,msc,12,months,,,,,,80,"The programme aims to provide knowledge and skills in radiation physics, protection, and dosimetry. The course is designed to produce graduates in Radiation Science with a strong capacity to work effectively as key members of a collaborative team for radiation protection and safety.",Radiation Science
301,"['Queensland University of Technology', 'Science and Engineering Faculty']",Australia,http://www.mastersportal.eu/studies/67375/applied-science.html,postgraddip,12,months,,,28100,USD,year,,"These courses deal with well-established and emerging areas of medical and health physics including clinical measurement, computing, health physics, instrumentation, medical electronics, medical imaging, physiological monitoring, physics of radiotherapy, radiobiology, and radiological imaging sciences. The coursework also contains an introduction to the clinical sciences.",Applied Science (Medical Physics)
302,['Hokkaido University'],Japan,http://www.mastersportal.eu/studies/64458/engineering.html,,12,months,,,2779,EUR,year,79,"Hokkaido University’s English Engineering Education Program (e3) is one of only a few programs offered in Japan that covers almost all fields in Engineering. Whatever branch of engineering you are interested in studying, you will find an engineering course at Hokkaido University that meets your needs.",Engineering
303,['Universiti Teknologi Mara'],Malaysia,http://www.mastersportal.eu/studies/195146/physics.html,,18,months,,,3543,USD,full,79,"The Faculty of Applied Sciences, UiTM is currently offering Fourteen (14) Master’s of Science programs and One (1) Doctor of Philosophy (Science) program.",Physics
304,"['Lund University', 'Faculty of Science']",Sweden,http://www.mastersportal.eu/studies/30770/astrophysics.html,,24,months,120,,14869,EUR,full,90,This structured two-year Astrophysics programme at Lund University offers you the opportunity to learn about the universe and apply your knowledge of physics in a vibrant and fast developing area of science.,Astrophysics
305,"['School of Physics and Astronomy', 'The University of Manchester']",United Kingdom,http://www.mastersportal.eu/studies/19496/particle-physics-msc-by-research.html,msc,12,months,,,22000,GBP,year,90,"The School of Physics and Astronomy at Manchester is one of the largest and most active schools of physics in the UK.  We have a long tradition of excellence in both teaching and research, and have interests in most areas of contemporary research.",Particle Physics MSc by Research
306,['University of Michigan'],United States,http://www.mastersportal.eu/studies/77925/macromolecular-science-and-engineering.html,msc,24,months,,,23367,USD,semester,84,The Macromolecular Science & Engineering Program (Macro) at the University of Michigan has been a research and education leader in the fields of polymer science and engineering for nearly 45 years.  We provide a world-class experience by providing opportunities for students to participate in a wide range of collaborative research endeavors.,Macromolecular Science and Engineering
307,"['New York University', 'NYU Tandon School of Engineering (Polytechnic Institute)']",United States,http://www.mastersportal.eu/studies/80281/transportation-management.html,msc,24,months,,,1720,USD,credit,90,Practicing professionals in the transportation industry fill the classrooms of the School of Engineering's MS in Transportation Management program. They share tested perspectives and trade new ideas about what could alleviate rush hour congestion or how to increase ridership.,Transportation Management
308,['Moscow Institute of Physics and Technology (MIPT)'],Russia,http://www.mastersportal.eu/studies/114069/cellular-and-molecular-biophysics.html,msc,24,months,,,2700,USD,year,,"The main objective of the programme is to provide students with in-depth knowledge of molecular and
cellular biology and train them to use this knowledge in applied biological sciences such as biotechnology,
biomedicine, and neuroscience.",Cellular and Molecular Biophysics
309,"['School of Earth, Atmospheric and Environmental Sciences', 'The University of Manchester']",United Kingdom,http://www.mastersportal.eu/studies/19314/physics-and-chemistry-of-minerals-and-fluids.html,mphil,12,months,,,20000,GBP,year,,"Physics and Chemistry of minerals and Fluids, studies the structure, properties and stabilities of minerals and fluids. Particular emphasis is given to studies of mineral surfaces, amorphous precipitates and geofluids.",Physics and Chemistry of Minerals and Fluids
310,['Stanford University'],United States,http://www.mastersportal.eu/studies/64326/geophysics.html,msc,24,months,,,47331,USD,year,100,"Geophysics is a field that integrates geology, mathematics, and physics in order to understand how the Earth works. Geophysicists study Earth processes through a combination of laboratory experiments, computational and theoretical modeling, remote imaging, and direct observation. Research in the Geophysics Department at Stanford has both fundamental and strategic elements.",Geophysics
311,['George Washington University'],United States,http://www.mastersportal.eu/studies/113302/physician-assistant.html,msc,24,months,,,86150,USD,full,100,"The physician assistant degree is a 24 or 36-month, full-time educational program divided into an academic and a clinical phase.",Physician Assistant
312,['University of Denver'],United States,http://www.mastersportal.eu/studies/68019/physics-and-astronomy.html,msc,,,,,1258,USD,credit,80,"The Department of Physics and Astronomy at the University of Denver combines a tradition of individualized instruction with a contemporary research focus. We have a dynamic faculty with innovative, interdisciplinary research programs",Physics and Astronomy
313,"['University College London (UCL)', 'Engineering Sciences']",United Kingdom,http://www.mastersportal.eu/studies/73964/medical-physics.html,,48,months,240,,23710,GBP,year,92,This four-year programme offers an extra year over the Physics with Medical Physics BSc in which you will extend your knowledge by taking additional advanced courses. You are advised to apply for the MSci programme initially but transfer between the BSc and MSci is possible during the first two years.,Medical Physics
314,['Binghamton University'],United States,http://www.mastersportal.eu/studies/107268/physics.html,msc,24,months,,,22210,USD,year,80,The Physics program is for students seeking careers in applied physics or in research and development in industrial laboratories. It is also intended for technical personnel in industry who wish to attain a higher level of understanding of the physical principles on which modern technology is based.,Physics
315,"['Department of Physics', 'Technical University of Denmark (DTU)']",Denmark,http://www.mastersportal.eu/studies/37784/earth-and-space-physics-and-engineering.html,msc,24,months,120,,15000,EUR,year,88,"The MSc programme in Earth and Space Physics and Engineering will provide you with competencies within research and development of satellite, space-, aircraft-, and ground-based measuring methods as well as mathematical and physical models for monitoring, mapping, and exploring large-scale physical structures and processes on Earth and in the universe.",Earth and Space Physics and Engineering
316,['University of Hawaii at Manoa'],United States,http://www.mastersportal.eu/studies/103526/oceanography.html,msc,12,months,,,18384,USD,year,100,"The Department of Oceanography is located on the University of Hawaii’s largest campus (about 20,000 students), overlooking Waikiki and downtown Honolulu.",Oceanography
317,"['University of Heidelberg', 'Masters programmes in english']",Germany,http://www.mastersportal.eu/studies/10303/physics.html,msc,24,months,120,,152,EUR,semester,90,"Owing to their wide-ranging and comprehensive training, there is a high demand for physics graduates in many walks of life. Potential career prospects range from research and development at universities, research institutions and in industry to positions in the field of information and communications or in management consultancy.",Physics
318,"['School of Engineering and Physical Sciences', 'Heriot-Watt University']",United Kingdom,http://www.mastersportal.eu/studies/11247/photonics-and-optoelectronic-devices.html,msc,12,months,60,,17570,GBP,year,,"Previously called Optoelectronic and Laser Devices, this MSc course has been updated and enhanced, recognising the explosive growth of the UK and global photonics industry, fostered by the world-wide expansion in the exploitation of optical in telecommunications.",Photonics and Optoelectronic Devices
319,"['Fakultät für Physik', 'Ludwig-Maximilians-University (LMU) Munich']",Germany,http://www.mastersportal.eu/studies/10136/theoretical-and-mathematical-physics.html,msc,24,months,,,0,EUR,year,,"This elite master program offers students both an in-depth and broad education in theoretical and mathematical physics, cornerstones of our modern knowledge-based society.",Theoretical and Mathematical Physics
320,"['University of St Andrews', 'School of Physics & Astronomy']",United Kingdom,http://www.mastersportal.eu/studies/86824/chemistry-and-physics.html,msc,48,months,,,17040,GBP,year,100,The University has four faculties and each course leading to a degree is administered by one of these faculties. You will belong to the same faculty throughout your time with us and most of the subjects you study will be offered by schools or departments within this faculty. Admission to the MSci (Hons) Chemistry and Physics programme of study is through the Faculty of Science.,Chemistry and Physics
321,"['Kaunas University of Technology', 'Faculty of Mathematics and Natural Sciences']",Lithuania,http://www.mastersportal.eu/studies/8850/applied-physics.html,,24,months,120,,4000,EUR,year,85,"Led by internationally recognised research, this Applied Physics study programme at Kaunas University of Technology focuses on the aspects of fundamental and applied physics, on the formation of new functional solid surfaces produced by physical vapour deposition high technologies, and many other exciting issues, starting with experimental research and ending with theoretical computer simulation.",Applied Physics
322,"['College of Science', 'University of Texas Arlington']",United States,http://www.mastersportal.eu/studies/91547/physics.html,msc,,,,,17316,USD,year,79,The objective of graduate work in physics is to prepare the student for continued professional and scholarly development as a physicist.,Physics
323,"['School of Graduate Studies', 'University of Toronto']",Canada,http://www.mastersportal.eu/studies/98607/physics.html,msc,12,months,,,,,,93,The Department of Physics offers graduate programs leading to the Master of Science and Doctor of Philosophydegrees.,Physics
324,"['University of Bern', 'Philosophisch-naturwissenschaftliche Fakultät']",Switzerland,http://www.mastersportal.eu/studies/58543/physics.html,msc,18,months,90,,770,EUR,semester,,"As part of the master's degree program, students specialize in one of 
the fields of work in Physics/Astronomy (Applied Physics, Astronomy, 
Astrophysics, Experimental High Energy Physics, Climate and 
Environmental Physics, Theoretical Physics, Space Research and Planetary
 Sciences).",Physics
325,['San José State University'],United States,http://www.mastersportal.eu/studies/128073/physics-concentration-in-computational-physics.html,msc,24,months,,,15340,USD,year,80,"The goal of this concentration is to give the candidate a thorough grounding in physics, computer programming and numerical methods. All candidates are required to complete a project or a thesis in which they apply computer-oriented techniques to physics problems.","Physics, Concentration in Computational Physics"
326,"['University of Southampton', 'Physics']",United Kingdom,http://www.mastersportal.eu/studies/13533/european-masters-in-physics.html,msc,24,months,120,,,,,,"The Master of Physics EuroMasters is a two-year taught Masters programme. The MPhys EuroMasters is a key activity of the South East Physics Network (SEPNET), which comprises the University of Kent, Queen Mary University of London, Royal Holloway University of London, the University of Surrey, the University of Sussex and the University of Southampton. SEPNET is principally funded by the Higher Education Funding Council for England (HEFCE).",European Masters in Physics
327,['University of Strasbourg'],France,http://www.mastersportal.eu/studies/187513/physics-condensed-matter-and-nanophysics.html,,24,months,120,,256,EUR,year,,"This experimental and theoretical training program, by and for research, aims to form specialists in Physics of Condensed Matter.",Physics - Condensed matter and Nanophysics
328,"['Universitat Autònoma de Barcelona', 'Sciences and Environmental Science']",Spain,http://www.mastersportal.eu/studies/26069/high-energy-physics-astrophysics-and-cosmology.html,msc,12,months,120,,82,EUR,credit,,"The Master's Degree in Education Policies for Global Development (GLOBED) at Universitat Autònoma de Barcelona aims to set new standards as a master's degree in the field of globalisation, education and international development.","High Energy Physics, Astrophysics and Cosmology"
329,['Luleå University of Technology'],Sweden,http://www.mastersportal.eu/studies/31664/spacecraft-design.html,msc,24,months,120,,28598,EUR,full,90,"This two-year Spacecraft Design program from Luleå University of Technology  is focused on an exciting and prestigious area - design of a spacecraft. This includes integration of complex technical systems that must work in an extreme environment - space. The course is given in Kiruna, the “space capital” of Sweden.",Spacecraft Design
330,"['Fakultät für Ingenieurwissenschaften', 'University of Duisburg-Essen']",Germany,http://www.mastersportal.eu/studies/10761/automation-and-control-engineering.html,msc,24,months,120,,300,EUR,semester,,"Having mastered the basic principles from their Bachelor's degree, students will deepen their understanding in the areas of mathematics (e.g. vector analysis and numerical mathematics), advanced principles of physics (e.g. fluid dynamics), automation technology (with enhanced theoretical methods) and computer science (real-time systems and distributed computer systems). ",Automation and Control Engineering
331,"['Faculty of Natural Sciences', 'Budapest University of Technology and Economics']",Hungary,http://www.mastersportal.eu/studies/157756/physics.html,msc,24,months,,,,,,,The Physics programme is offered at Budapest University of Technology and Economics.,Physics
332,['Texas A&M University'],United States,http://www.mastersportal.eu/studies/98294/physics.html,msc,,,,,681,USD,credit,80,"The Department of Physics offers training in physics leading to the degrees of Bachelor of Arts, Bachelor of Science, Master of Science and Doctor of Philosophy.",Physics
333,['Brown University'],United States,http://www.mastersportal.eu/studies/103101/physics.html,msc,,,,,,,,90,"The Physics's Master's program is suitable as both a means for professional development and preparation for further graduate study. The program offers enough flexibility to allow for completion of the degree in two, three, or four semesters of full time enrollment, depending on a student’s background. The program may also be completed with part time enrollment over a longer period.",Physics
334,['University of Northern British Columbia'],Canada,http://www.mastersportal.eu/studies/149611/physics.html,msc,24,months,,,36568,CAD,full,90,"The Physics program is offered by the University of Northern British Columbia. Mathematical, Computer, Physical and Molecular Sciences (MCPMS) is one stream of the Master of Science degree in the College of Science and Management. Thesis and project options are available. ",Physics
335,['Universiti Sains Malaysia'],Malaysia,http://www.mastersportal.eu/studies/124975/applied-geophysics.html,,12,months,,,4621,USD,year,,"The School of Mathematical Sciences was established on May 29, 1974. As with the other Science Schools, the School offers the Bachelor of Science and Bachelor of Applied Science degrees. In addition, the School is also involved in the Bachelor of Science with Education and Bachelor of Education degrees.",Applied Geophysics
336,['Freie Universität Berlin'],Germany,http://www.mastersportal.eu/studies/492/polymer-science.html,msc,24,months,120,,,,,90,"Polymer science is an interdisciplinary area comprised of chemical, physical, engineering, processing, and theoretical aspects. It also has enormous impact on contemporary materials science. Its goal is to provide the basis for the creation and characterization of polymeric materials and an understanding for structure/property relationships.",Polymer Science
337,['Indiana University - Purdue University Indianapolis'],United States,http://www.mastersportal.eu/studies/103906/biostatistics.html,msc,24,months,,,957,USD,credit,95,"Biostatistics is the development and application of statistical reasoning and methods in addressing, analyzing and solving problems in public health; health care; and biomedical, clinical and population-based research.",Biostatistics
338,['University of Trento'],Italy,http://www.mastersportal.eu/studies/123440/physics.html,msc,24,months,120,,4500,EUR,year,80,"The Master’s degree course in Physics from University of Trento is a two-year full-time programme
taught in English and is designed to train and develop the careers of the next
generation of physicists.",Physics
339,['McGill University'],Canada,http://www.mastersportal.eu/studies/95254/medical-physics.html,msc,24,months,,,7248,EUR,year,86,"The current M.Sc. thesis program is structured such that, in addition to the basics of medical physics, the students get some practical knowledge through the mandatory laboratory work in radiation oncology, radiology, and nuclear medicine.",Medical Physics
340,"['University of California, Berkeley']",United States,http://www.mastersportal.eu/studies/64152/nuclear-engineering.html,meng,24,months,,,26150,USD,year,90,"In collaboration with other departments in the College of Engineering, Nuclear Engineering offers a one-year professional master's degree. The accelerated program is designed to develop professional engineering leaders who understand the technical, environmental, economic, and social issues involved in the design and operation of nuclear engineering devices, systems, and organizations. Prospective students will be engineers, typically with industrial experience, who aspire to substantially advance in their careers and ultimately to lead large, complex organizations, including governments.",Nuclear Engineering
341,['University of Minnesota Duluth'],United States,http://www.mastersportal.eu/studies/72135/physics.html,msc,24,months,,,15147,USD,semester,,ESLI partners with universities in the U.S. and Canada to offer students premiere language instruction and university preparation in order to achieve full admission to their field of study.  ESLI partner universities offer conditional admission to students which means that students who complete the ESLI language program do not have to take the TOEFL or IELTS exam.,Physics
342,['The University of Hong Kong'],Hong Kong (SAR),http://www.mastersportal.eu/studies/67615/energy-engineering.html,meng,12,months,,,18686,USD,year,80,The curriculum is jointly offered by the Department of Electrical and Electronic Engineering and Department of Mechanical Engineering.,Energy Engineering
343,"['Dipartimento delle Risorse Naturali e Culturali', 'University of Ferrara']",Italy,http://www.mastersportal.eu/studies/29186/physics.html,msc,24,months,120,,1300,EUR,year,,"This is an advanced course in Physics awarding a M.Sc. degree based on 120 ECDS credits; this course is fully taught in English. The main objective of this course is a deep and flexible understanding of the main areas of modern physics. The course is based on individual study and on actual research work, done in close contact with researchers working on advanced topics in a wide range of areas ranging from fundamental physics to advanced aspects of applied physics.",Physics
344,['Kansas State University'],United States,http://www.mastersportal.eu/studies/62802/nuclear-engineering.html,msc,,,,,909,USD,credit,79,"The Mechanical and Nuclear Engineering Department at Kansas State University offers separate graduate programs in Mechanical Engineering and Nuclear Engineering both leading to M.S. and Ph.D. degrees. Our award-winning faculty are engaged in exciting and cutting-edge research projects in state of the art laboratories and research facilities, while our graduate students are excelling inside and outside of the classroom.",Nuclear Engineering
345,"['University of Bristol', 'Faculty of Medical and Veterinary Sciences']",United Kingdom,http://www.mastersportal.eu/studies/44693/biophysics-and-molecular-life-sciences.html,msc,12,months,,,18600,GBP,year,,"The Biophysics and Molecular Life Sciences programme at  University of Bristol provides interdisciplinary training at the interface of chemistry, physics and the life sciences, and is taught by active research staff drawn from all of these areas.",Biophysics and Molecular Life Sciences
346,"['SEPNet', 'Physics']",United Kingdom,http://www.mastersportal.eu/studies/13532/european-masters-in-physics.html,msc,21,months,120,,,,,,"Brought to you by some of the finest minds in physics, this high quality European Masters programme follows the European method of study and involves a year of research working on pioneering projects such as ATLAS and LOFAR. The two year programme is tailored to you, and brings together many elements, so you can choose to be based at one of six world-class universities across South East England.",European Masters in Physics
347,"['Mads Clausen Institute, Faculty of Engineering', 'University of Southern Denmark']",Denmark,http://www.mastersportal.eu/studies/42703/engineering-physics-and-technology.html,msc,24,months,120,,13900,EUR,year,88,"During your studies you will find the answer to why and how technology works – and you will use that knowledge to develop, for example, optically based faster computers or new optical measurement methods for diagnosing cancer, or ultra-sensitive sensors capable of detecting the presence of just a few molecules of narcotics or explosives.  University of Southern Denmark offers the MSc in Engineering - Physics and Technology",Engineering - Physics and Technology
348,"[""Master's Degree Programmes"", 'University of Stavanger']",Norway,http://www.mastersportal.eu/studies/37733/mathematics-and-physics.html,msc,24,months,120,,0,EUR,year,80,Mathematics and Physics form the basis for all technical and scientific research. These two subjects are an indispensable prerequisite for technological developments in modern society. The Mathematics and Physics programme is offered by the University of Stavanger.,Mathematics and Physics
349,"['Energy and Power', 'Cranfield University']",United Kingdom,http://www.mastersportal.eu/studies/40873/flow-assurance-for-oil-and-gas-production.html,msc,12,months,,,,,,92,This is the first masters level degree course that brings academic rigour and focus to this multi-disciplinary subject. The MSc in Flow Assurance for Oil and Gas Production from Cranfield University is suitable for engineering and applied science graduates who wish to embark on successful careers in the oil and gas industry.,Flow Assurance for Oil and Gas Production
350,"['Official Master Degrees', 'Autonomous University of Madrid']",Spain,http://www.mastersportal.eu/studies/29587/theoretical-physics.html,msc,12,months,60,,84,EUR,credit,,"The main objectives of the Master Program are to provide academic training specializing in Theoretical Physics, and an introduction into research. This Master naturally leads to PhD studies. The training received during the Master is equivalent to that of the most demanding European schools, and is similar to that obtained in the postgraduate programs of prestigious North American universities. ",Theoretical Physics
351,['University of Zurich'],Switzerland,http://www.mastersportal.eu/studies/83701/physics.html,msc,18,months,90,,659,EUR,semester,100,"Studying physics is a good start in science: physics acts as a foundation for the majority of natural sciences. The most important prerequisites for studies are an interest in the fundamental questions of nature, enthusiasm and a little ability. We can offer you a broad basic education in experimental and theoretical physics that also covers practical experience in measurement engineering, experimental methods and training in mathematics and application-oriented information technology.",Physics
352,['Northumbria University'],United Kingdom,http://www.mastersportal.eu/studies/146723/physics-with-astrophysics.html,,48,months,,,,,,,"If your mind is stimulated by physics and maths, and you are also fascinated by the sun and our solar system and want to explore subjects such as dark matter and black holes, then choosing Physics with Astrophysics at Northumbria can give your career as a Physicist and Astrophysics edge.",Physics with Astrophysics
353,['The University of Texas Rio Grande Valley'],United States,http://www.mastersportal.eu/studies/183584/physics.html,msc,,,,,818,USD,credit,79,Two options are available for the degree plan leading to the Master of Science  (MS)  in  Physics: thesis  or  non-thesis;  and  the  candidate  must declare one of the options at the time of admission. Both options require 30 semester credit hours for successful completion.,Physics
354,['Columbia University'],United States,http://www.mastersportal.eu/studies/62980/applied-physics.html,msc,12,months,,,1782,USD,credit,100,"The program of study leading to the degree of Master of Science, while emphasizing continued work in basic physics, permits many options in several applied physics specialties.",Applied Physics
355,['University of Alaska Fairbanks'],United States,http://www.mastersportal.eu/studies/68242/geophysics.html,msc,,,,,681,USD,credit,79,"The University of Alaska Fairbanks, Geophysics program is closely connected with the Geophysical Institute and is optimally positioned to investigate a wide array of geophysical phenomena. Students have the option to obtain a general geophysics degree or to choose of the of three concentrations to focus their studies.",Geophysics
356,"['University of Bonn', 'Masters Programmes in English']",Germany,http://www.mastersportal.eu/studies/64984/bonn-cologne-graduate-school-of-physics-and-astronomy.html,msc,24,months,,,0,EUR,full,80,The Bonn-Cologne Graduate School of Physics and Astronomy (BCGS) is a joint program of graduate studies between the University of Bonn and the University of Cologne. The program leads students with a bachelor's degree through an MSc phase to doctoral studies. Students with MSc degrees are admitted directly to the PhD stage.,Bonn-Cologne Graduate School of Physics and Astronomy (BCGS)
357,['University of Ottawa'],Canada,http://www.mastersportal.eu/studies/68523/physics.html,msc,24,months,,,6420,CAD,year,,"Established in 1983, the Ottawa-Carleton Institute for Physics (OCIP) combines the research strengths of the University of Ottawa and Carleton University. The Institute offers graduate programs leading to the master’s (MSc) and doctoral (PhD) degrees in Physics.",Physics
358,"['Emporia State University', 'Graduate Degree Programs Offered Online']",United States,http://www.mastersportal.eu/studies/44437/physical-science-earth-science-concentration.html,msc,24,months,,,731,USD,module,90,The earth science department at Emporia State University offers a Master of Science degree in Physical Sciences with earth science concentration. This degree allows considerable flexibility for students to design individual programs within the framework of earth-system science. ,Physical Science - Earth Science Concentration
359,,,http://www.mastersportal.eu/studies/83901/optical-design.html,msc,24,months,120,,3300,EUR,year,90,"ITMO University offers several double degree Master’s programmes with world’s top universities. Most programmes take two years, with one year at ITMO and the other year at a partner university. Classes are taught in English. The Optical Design programme is delivered by ITMO University in collaboration with Warsaw University of Technology (Poland).",Optical Design
360,"['Taught programmes', ""King's College London""]",United Kingdom,http://www.mastersportal.eu/studies/2368/molecular-biophysics.html,msc,12,months,90,,20700,GBP,year,101,"Our Molecular Biophysics for Medical Sciences MRes offers you the chance to learn about biophysics, molecular biology and bioinformatics, and to undertake an extensive research project.",Molecular Biophysics
361,['Florida Institute of Technology'],United States,http://www.mastersportal.eu/studies/106660/oceanography-physical-oceanography.html,msc,,,,,19270,USD,year,79,"Oceanography is a broad, multidisciplinary science that integrates the expertise and skills of ocean scientists with that of engineers.",Oceanography-Physical Oceanography
362,"['Johannes Kepler University Linz', 'Engineering – Natural Sciences / Academic Degree Programs']",Austria,http://www.mastersportal.eu/studies/24910/biophysics.html,,24,months,120,,745,EUR,semester,90,"In recent history, no other area of science has shaped and influenced the development of technology as much as research in the area of physics. The Master's degree program in Engineering Physics was originally conceived as a Bachelor/Masters program of study and demands skills of precision, logical thinking, creativity, and resourcefulness.",Biophysics
363,"['University College Dublin', 'UCD College of Science']",Ireland,http://www.mastersportal.eu/studies/136380/physics-by-negotiated-learning.html,msc,12,months,,,23800,EUR,year,,"This Physics by Negotiated Learning (PNL) programme from University College Dublin offers graduates an opportunity to tailor the MSc curriculum to a targeted area of expertise in physics. In this way, you can customise the MSc to cater for your personal interests, to orientate to a particular job market, or to continue your professional development.",Physics By Negotiated Learning (PNL)
364,"['Master programs in German and English', 'Goethe University Frankfurt am Main']",Germany,http://www.mastersportal.eu/studies/16751/physics.html,msc,24,months,120,,360,EUR,semester,80,"Physics is the science of the structure, characteristics, conditions and motion of matter and energy, as well as the underlying interactions and forces and the resulting dimensions. As such, it is the material basis of all natural sciences and all technical disciplines.",Physics
365,['Queens College'],United States,http://www.mastersportal.eu/studies/175142/physics.html,msc,24,months,,,780,USD,credit,,"Students enrolling in Master of Science in Secondary Education programs will be assigned an advisor in the area of certification who will meet with and review the student’s background. Together, they will plan an appropriate program of graduate courses. ",Physics
366,"[""Bishop's University Faculty of Arts and Sciences"", 'Bishop’s University']",Canada,http://www.mastersportal.eu/studies/174654/physics.html,msc,24,months,,,545,CAD,credit,90,The Master’s Programme is designed to give students a deeper appreciation of physics while giving them a comprehensive exposure to research methodology that will allow them to become independent researchers. ,Physics
