,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name,
91,['University of Rwanda'],Rwanda,http://www.mastersportal.eu/studies/140321/public-procurement-management-for-sustainable-development.html,msc,12,months,,,,,,,Give an overview of the program Procurement Management is the third pillar of the Government of Rwandan Public Financial Management Reforms Strategy. ,Public Procurement Management for Sustainable Development,
92,"['Louisiana State University', 'The Graduate School']",United States,http://www.mastersportal.eu/studies/117348/public-administration.html,,,,,,28500,USD,year,79,The Public Administration program is offered by the Louisiana State University.These courses have been selected by the faculty of the Public Administration Institute to be included as core courses in the LSU MPA program. ,Public Administration,
93,['University of Guam'],Guam,http://www.mastersportal.eu/studies/138296/public-administration.html,,,,,,618,USD,module,61,The mission of the University of Guam Master of Public Administration (MPA) program is to inspire authentic public servants through leadership that enlightens its learners to discover what it truly means to be of public service.,Public Administration,
94,['Auburn University'],United States,http://www.mastersportal.eu/studies/155070/integrated-masters-accelerator.html,,4,months,,,15700,USD,full,,Auburn University offers four ways for international students to enter their graduate program. One of these is the Integrated Master's Accelerator. The entry path that is best for you will depend on your qualifications and personal preferences.,Integrated Master's Accelerator,
95,['University of Kwazulu Natal'],South Africa,http://www.mastersportal.eu/studies/66629/public-administration.html,,24,months,,5,,,,80,"Given the need for public and NGO sector capacity development domestically, regionally, continentally and globally, MPA programme outcomes are devised to create a new cadre of managers who analytically and synergistically become knowledgeable change agents.",Public Administration,
96,"['College of Architecture, Planning, and Public Affairs', 'University of Texas Arlington']",United States,http://www.mastersportal.eu/studies/90468/public-administration.html,,24,months,,,18428,USD,year,79,"Public Administration is concerned with the formulation, analysis, negotiation, and implementation of democratically responsible collective action. With an interdisciplinary focus, this program gives special emphasis to the urban community and the special challenges of public managers who serve in urban areas.",Public Administration,
97,['Tsinghua University'],China,http://www.mastersportal.eu/studies/68917/international-master-of-public-administration.html,,12,months,,,5657,USD,year,,The IMPA program is a one-year English degree program offered by the School of Public Policy and Management (SPPM) at Tsinghua University. It is designed for government officials from developing countries and focuses on enhancing cooperation and exchanges between those countries.,International Master of Public Administration (IMPA),
98,['Eastern Kentucky University'],United States,http://www.mastersportal.eu/studies/58703/public-administration.html,,24,months,,,855,USD,credit,79,"The Master Public Administration (MPA) prepares qualified individuals, both entry-level and mid-career, for advanced professional positions in the administration of public and non-profit programs. It is also appropriate for individuals in the private sector who have responsibility for public sector contracts, regulatory compliance, or other liaison and oversight activities.",Public Administration (MPA),
99,"['School of Social Sciences and Humanities', 'University of Deusto']",Spain,http://www.mastersportal.eu/studies/9266/international-humanitarian-action.html,,16,months,90,,12600,EUR,full,,The main objective of a Master’s degree in Humanitarian Action is to meet the growing need for higher educational qualifications specifically designed to respond to complex humanitarian crisis situations.,International Humanitarian Action (NOHA),
100,['University of York'],United Kingdom,http://www.mastersportal.eu/studies/6393/public-administration.html,,12,months,,,16290,GBP,year,87,Explore and engage with the services that the international public depends on. This is a unique opportunity to study for a professional qualification designed to enrich your knowledge of international service delivery in government and non-profit organisations.,Public Administration,
101,['Emporia State University'],United States,http://www.mastersportal.eu/studies/173054/educational-administration.html,msc,24,months,,,15372,USD,year,,"Masters/Non-degree program in Educational Administration: This 35 hour graduate masters program or non-degree program will generally qualify the candidate for licensure as a building principal, assistant principal, or athletic director. Candidates will need to check with their state certification office to see if additional requirements are mandated by their specific department of education. ",Educational Administration,
102,['Binghamton University'],United States,http://www.mastersportal.eu/studies/106412/public-administration.html,,24,months,,,22210,USD,year,80,"Accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA), Binghamton University's Master's of Public Administration (MPA) program works in collaboration with community-based organizations to prepare students to be tomorrow's leaders, innovators, and public and non-profit service managers.",Public Administration,
103,['Boise State University'],United States,http://www.mastersportal.eu/studies/132738/public-administration.html,,12,months,,,,,,,"The Master of Public Administration (MPA) is the most widely recognized educational degree focused on public and nonprofit management. Boise State University’s MPA is accredited by the Network of Schools of Public Policy, Affairs, and Administration (NASPAA).",Public Administration,
104,['Brigham Young University'],United States,http://www.mastersportal.eu/studies/60995/public-administration.html,,24,months,,,6500,USD,semester,80,"Administered through the Romney Institute of Public Management, the master of public administration (MPA) program prepares men and women for leadership in the public and nonprofit sectors.",Public Administration,
105,"['Wayne State University', 'College of Liberal Arts and Sciences']",United States,http://www.mastersportal.eu/studies/120359/public-administration.html,,,,,,,,,79,"The MPA program at Wayne State University offers professional training to provide competencies needed for a wide variety of public service positions and to build the foundation for long-term individual development and advancement in a public service career. There are approximately 70 students enrolled in the program, with part- and full-time students equally welcome.",Public Administration,
106,"['Northern Kentucky University', 'College of Arts & Sciences']",United States,http://www.mastersportal.eu/studies/145390/public-administration.html,,24,months,,,822,USD,credit,,"The Master of Public Administration (MPA) is an applied 39 credit hour degree designed to prepare students for careers in public management. Students have to complete nine core courses and choose one area of concentration. Classes are small, permitting faculty to personalize instruction and allowing students to develop interpersonal, technical, and quantitative skills necessary for competitive employment in the public and related sectors.",Public Administration,
107,['Portland State University'],United States,http://www.mastersportal.eu/studies/127301/executive-mpa.html,,,,,,37000,USD,year,80,"The EMPA Program is designed for busy, ambitious, and forward-looking public and nonprofit professionals who have at least ten years of significant work experience.",Executive MPA,
108,['Flinders University'],Australia,http://www.mastersportal.eu/studies/61465/public-administration.html,,24,months,,,26300,AUD,year,72,"The Flinders Institute of Public Policy and Management (FIPPM) offers a comprehensive, articulated program recognised nationally and internationally for academic and professional purposes.
All students are assisted to create personal study programs that combine core topics with topics of particular interest or importance to them and electives that help expand their fields of knowledge and understanding.",Public Administration (Management),
109,['George Mason University'],United States,http://www.mastersportal.eu/studies/102457/higher-education.html,ma,24,months,,,24170,USD,year,,"This concentration prepares individuals for administrative and leadership positions in colleges and universities, associations, and government agencies whose activities affect higher education. Within the concentration, students may choose to emphasize administration or student affairs.",Higher Education,
110,['Saginaw Valley State University'],United States,http://www.mastersportal.eu/studies/182664/public-administration.html,ma,24,months,,,1022,USD,credit,79,"The Master of Arts in Public Administration program is an interdisciplinary program designed for individuals seeking employment or advancement to leadership positions in public service organizations including federal, state and local government, non-profit agencies, law enforcement, and public or private colleges and universities. ",Public Administration,
111,['American University Washington DC'],United States,http://www.mastersportal.eu/studies/116726/public-administration-key-executive-leadership.html,,24,months,,,1579,USD,credit,100,"Executive Master of Public Administration (MPA) provides a unique cohort experience to enthusiastic and experienced leaders employed predominantly by the Federal government, though a significant number of state, local, nonprofit and private leaders also graduate from the program.",Public Administration: Key Executive Leadership,
112,['Buffalo State SUNY'],United States,http://www.mastersportal.eu/studies/140369/public-administration-in-public-and-nonprofit-management.html,,,,,,11105,USD,year,79,"The Public Administration in Public and Nonprofit Management program offered at Buffalo State SUNY prepares individuals for positions of leadership and management in public and nonprofit organizations. The program provides students with an advanced course of graduate study concentrating on the conceptual, technical, and professional education and skills required for administrative and leadership positions in governmental offices and nonprofit organizations.",Public Administration in Public and Nonprofit Management,
113,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191397/public-administration-global-affairs-and-human-security.html,msc,24,months,,,9819,USD,year,79,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. You can earn both degrees concurrently by completing all required courses over a three- to four-year period.",Public Administration - Global Affairs and Human Security,
114,['California State University San Bernardino'],United States,http://www.mastersportal.eu/studies/144296/public-administration.html,,24,months,0,,,,,80,This degree is intended for graduate students and career employees seeking to develop and strengthen academic and professional skills for admission and advancement in the professional practice of public administration.,Public Administration,
115,"['SOCIAL SCIENCES', 'HEC Paris School of Management']",Russia,http://www.mastersportal.eu/studies/14698/management-and-public-affairs-double-degree-with-mgimo.html,,24,months,120,,21200,EUR,full,100,HEC Paris has developed a number of Double Degrees in partnership with world-class institutions allowing students to optimize and enhance their study opportunities through adding Public Affairs expertise on top of their Management studies. The Management and Public Affairs Double Degree With Mgimo course is offered at HEC Paris School of Management.,Management and Public Affairs Double Degree With Mgimo,
116,['University of South Carolina'],United States,http://www.mastersportal.eu/studies/120840/public-administration.html,,,,,,13704,USD,semester,80,"Public service is a noble calling, and the master of public administration prepares you with the managerial and analytical skills you need to ethically and effectively serve an increasingly diverse public in government agencies, nonprofit groups or other public affairs organizations. This Public Administration program is offered by the University of South Carolina.",Public Administration,
117,['University of Tennessee Knoxville'],United States,http://www.mastersportal.eu/studies/66308/public-policy-and-administration.html,,,,,,15025,USD,semester,80,"The Political Science department, in cooperation with the Howard H. Baker Jr. Center for Public Policy, offers the Master of Public Administration and Public Policy (MPPA) degree program.",Public Policy and Administration,
118,['University of West Georgia'],United States,http://www.mastersportal.eu/studies/151205/public-management.html,postgradcert,,,,,861,USD,credit,,The Public Administration Program at the University of West Georgia offers a course of study leading to a Graduate Certificate in Public Management (GCPM).,Public Management,
119,"['Michael D. Eisner College of Education', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/119403/educational-administration-higher-education.html,ma,24,months,,,7866,USD,year,79,"The Department of Educational Leadership and Policy Studies at California State University Northridge offers programs leading to degrees and/or credentials in the field of Educational Administration. Students may pursue programs leading to an M.A. degree in Educational Administration - Higher Education or K-12, as well as studies directed at achieving the Preliminary and Clear Administrative Services Credentials.",Educational Administration - Higher Education,
120,['Old Dominion University'],United States,http://www.mastersportal.eu/studies/132165/public-administration.html,,24,months,,,20900,USD,year,79,"The mission of the Master of Public Administration program at Old Dominion University is to prepare students for careers as professionals in public service and to provide students who have considerable experience in the public sector an opportunity to enhance their professional knowledge, skills and abilities, enabling them to advance their careers.",Public Administration,
121,['Illinois Institute of Technology'],United States,http://www.mastersportal.eu/studies/61932/public-administration.html,,24,months,,,1400,USD,credit,90,"Illinois Institute of Technology Stuart's Master of Public Administration (M.P.A.) program in Chicago is one of the only programs of its kind integrated into a business school, creating professionals who can translate business insights and corporate best practices into effective public and nonprofit management strategies. These skills not only help you advance in your public sector career, they also create professional growth opportunities in a variety of industries.",Public Administration,
122,['Bridgewater State University'],United States,http://www.mastersportal.eu/studies/167703/public-administration.html,,12,months,,,70,USD,credit,79,"The MPA program teaches essential managerial and analytic skill that can be applied immediately in either entry or mid-level positions at local, state and federal agencies, as well as at nonprofit organizations that interact with government or private corporations that deal with public policy.",Public Administration,
123,"['Department of Information Studies', 'Aberystwyth University']",United Kingdom,http://www.mastersportal.eu/studies/1784/archive-administration.html,ma,12,months,,,14000,GBP,year,93,"By studying archive administration at postgraduate level, you will learn professional principles and techniques and acquire the core skills which will enable you to play a part in the preservation, management and exploitation of an invaluable informational and historical resource.",Archive Administration,
124,['Latvia University of Agriculture'],Latvia,http://www.mastersportal.eu/studies/150954/sociology-of-organizations-and-public-administration.html,,24,months,120,,2400,EUR,year,65,The programme aims to educate highly qualified specialists for managerial posts in organizations of public and private sectors as well as for research institutions. The Sociology of Organizations and Public Administration programme is offered at the Latvia University of Agriculture.,Sociology of Organizations and Public Administration,
125,"['Leiden University', 'Faculty of Social and Behavioural Sciences']",Netherlands,http://www.mastersportal.eu/studies/39452/political-science-and-public-administration.html,msc,24,months,120,,16000,EUR,year,113,This interdisciplinary specialisation offers a strong focus on skill development and the ability to conduct independent research.,Political Science and Public Administration (Research),
126,['University at Albany'],United States,http://www.mastersportal.eu/studies/66281/public-administration.html,,24,months,,,,,,79,The Public Administration program provides college graduates with opportunities to prepare for greater career opportunities. It can also serve as an intermediate step towards studies at the doctoral level.,Public Administration,
127,['Eastern Washington University'],United States,http://www.mastersportal.eu/studies/142878/dual-degree-master-of-public-administration-and-master-of-urban-and-regional-planning.html,,36,months,,,1240,USD,credit,92,The Master of Public Administration degree prepares people for leadership roles in organizations that provide public services or have important interactions with public service organizations. The EWU MPA program's approach to this task is reflective practice with a twist.,Dual Degree: Master of Public Administration and Master of Urban and Regional Planning,
128,['Tarleton State University'],United States,http://www.mastersportal.eu/studies/162958/public-administration.html,,18,months,,,1835,USD,credit,,The MPA at Tarleton State University will provide graduates with a unique skill set applicable to all fields related to Public Administration.,Public Administration,
129,['Virginia Commonwealth University'],United States,http://www.mastersportal.eu/studies/118269/public-administration.html,,24,months,,,,,,,"The mission of the Master of Public Administration Program is to develop creative, principled leaders who understand the demands placed upon local, national and global public and nonprofit institutions and are equipped with skills in program management and policy analysis.",Public Administration (Concentration in Nonprofit Management),
130,"['The New School', 'Milano School of International Affairs, Management, and Urban Policy']",United States,http://www.mastersportal.eu/studies/130266/public-and-urban-policy.html,msc,24,months,,,1530,USD,credit,100,"The Public and Urban Policy master's program at The New School challenges you to develop innovative solutions for the world’s thorniest challenges, which are increasingly urban and global. Milano School of International Affairs, Management, and Urban Policy’s community of scholars and learners examine today’s urban policy issues in real time and design creative solutions, all while working closely with policymakers in government agencies and nonprofit organizations.",Public and Urban Policy,
131,['Pace University'],United States,http://www.mastersportal.eu/studies/138557/public-administration.html,,,,,,960,USD,year,80,"The Dyson College of Arts and Sciences’ Department of Public Administration from Pace University offers a Master of Public Administration degree for those seeking careers in local, state and federal government agencies or voluntary, proprietary and not-for-profit organizations.",Public Administration,
132,['Kimep University'],Kazakhstan,http://www.mastersportal.eu/studies/75309/public-and-municipal-administration.html,,,,,,,,,87,"The Master in Public and Municipal Administration at Kimep University focuses on the relations between the public sector, the government and the civil society. The Master’s degree covers courses in public management and leadership, fiscal governance, and organisational psychology. Learn to develop public policies and to suggest public management decisions that lead to change and performance.",Public and Municipal Administration,
133,['West Virginia State University'],United States,http://www.mastersportal.eu/studies/141623/public-administration.html,,24,months,,,17008,USD,year,61,"The Political Science Program at West Virginia State University offers a Master of Public Administration (MPA) degree for those interested in government and non-profit employment at the national, state and local levels.",Public Administration,
134,"['Department of Public Administration and Health Management', 'Indiana University Kokomo']",United States,http://www.mastersportal.eu/studies/127988/public-management.html,,9,months,,,,,,79,"The M.P.M. program provides public service managers the skills to cope with challenging human and technical issues. It also provides a broad interdisciplinary background in the values and ethics of public management. It is designed as preparation for executive leadership positions in the public, private and nonprofit sectors.",Public Management,
135,"['Economic and Management Sciences', 'University of Pretoria']",South Africa,http://www.mastersportal.eu/studies/90609/public-administration.html,,12,months,,,997,EUR,module,83,"The SPMA offers the MAdmin and MPhil (Public Policy) research-focused degrees for students who have successfully completed an honours degree in Public Administration, or Public Management.",Public Administration,
136,['North Carolina Agricultural & Technical State University'],United States,http://www.mastersportal.eu/studies/191532/school-administration.html,,,,,,8575,USD,semester,,The School Administration Program is situated within the Human Development and Services Department of the School of Education at North Carolina A&T State University. Our program offers two options for obtaining the state required preparation for school leadership positions. ,School Administration,
137,['The City University of New York'],United States,http://www.mastersportal.eu/studies/128289/public-administration.html,,,,,,5065,USD,semester,,"CUNY has over 20 Public Administration programs catering to graduates who are pursuing careers catering to the needs of the community at large. Students can pursue an MPA in Nonprofit Administration, Policy Analysis and Evaluation, Higher Education Administration and much more.",Public Administration,
138,['University of Baltimore'],United States,http://www.mastersportal.eu/studies/191439/public-administration-public-policy-and-administration.html,msc,24,months,,,9819,USD,year,6,"This dual-degree option is an opportunity to develop skills for managerial and legal positions in federal, state or local government agencies as well as in nonprofit or quasi-governmental organizations. You can earn both degrees concurrently by completing all required courses over a three- to four-year period.",Public Administration - Public Policy and Administration,
139,"['School of Public Affairs', 'American University Washington DC']",United States,http://www.mastersportal.eu/studies/116174/public-administration.html,,24,months,,,1579,USD,credit,100,"Offered by the Department of Public Administration and Policy, School of Public Affairs, American University Washington DC, the Master of Public Administration program instills the knowledge, skills, and values necessary to manage and lead with distinction in government and related organizations that serve the public good in the U.S. democratic context and abroad.",Public Administration,
140,['University of San Francisco'],United States,http://www.mastersportal.eu/studies/137052/public-administration.html,,21,months,,,43700,USD,year,100,Our MPA program prioritizes hands-on experience that prepares you to address the public interest through the collection and analysis of evidence essential for implementing public service strategies.,Public Administration,
141,['University of New Haven'],United States,http://www.mastersportal.eu/studies/71704/public-administration.html,,,,,,22248,USD,module,80,The Master of Public Administration degree trains you for public service careers. We’ll help you develop the modern analytic and quantitative tools you’ll need to analyze and make decisions about the complex problems of government and nonprofit organizations.,Public Administration,
142,['University of Tampere'],Finland,http://www.mastersportal.eu/studies/59626/public-choice.html,,24,months,120,,10000,EUR,year,90,The Master in Public Choice degree programme from University of Tampere is designed to teach students to use economic tools to address these types of social science problems. ,Public Choice,
143,['Eastern Washington University'],United States,http://www.mastersportal.eu/studies/142699/public-administration.html,,24,months,,,1240,USD,credit,92,The Master of Public Administration degree prepares people for leadership roles in organizations that provide public services or have important interactions with public service organizations.,Public Administration,
144,['CUNY John Jay College of Criminal Justice'],United States,http://www.mastersportal.eu/studies/170325/public-administration-public-policy-and-administration.html,,,,,,,,,61,"The Master of Public Administration Program in Policy and Administration at John Jay College of Criminal Justice prepares students for careers in public and independent organizations as managers, analysts and leaders. ",Public Administration- Public Policy and Administration,
145,['University of Arizona'],United States,http://www.mastersportal.eu/studies/82604/public-administration.html,,24,months,,,1539,USD,module,79,The Master of Public Administration (MPA) prepares men and women for challenging and rewarding careers in the changing public and nonprofit arenas.,Public Administration,
146,['University of Miami'],United States,http://www.mastersportal.eu/studies/67968/public-administration.html,,,,,,,,,80,"The Masters of Public Administration program seeks to provide the highest quality graduate education for current and prospective officials in all three arenas of public service: government agencies, nonprofit organizations and private vendors.  The program strives to achieve local, state and national prominence through a contemporary curriculum, innovative instruction, scholarly and applied research, and service to key stakeholders.   Program activities are designed to develop and enhance technical, ethical and leadership competencies.",Public Administration,
147,"['Radboud University', 'Nijmegen School of Management']",Netherlands,http://www.mastersportal.eu/studies/120552/public-administration.html,msc,12,months,60,,9432,EUR,year,90,"In the Master's programme in Public Administration at Radboud University you study how organisations in and around public administration operate and how they are organised. The Master’s in Public Administration continues on from the Bachelor's in Public Administration, but can also be followed as an independent Master’s after, for example, a Bachelor's programme in History. Graduates of the Master’s in Public Administration can become public manager: someone who can use their extensive knowledge on the workings and structure of the government to put forward solutions for internal organisational problems and social governmental policy issues.",Public Administration,
148,['Indiana University Bloomington'],United States,http://www.mastersportal.eu/studies/96450/public-health.html,,,,,,,,,80,This program prepares students to assume leadership roles in the public and private sectors and to effectively create and implement policies and manage programs that promote the public’s health with the opportunity to focus on rural populations.,Public Health (Public Health Administration),
149,['University of Saskatchewan'],Canada,http://www.mastersportal.eu/studies/64456/public-administration.html,,16,months,,,15449,CAD,year,80,"The Johnson-Shoyama Graduate School of Public Policy (JSGS) is a provincial centre for advanced education, research, and, outreach and training activities with campuses at both the University of Regina and the University of Saskatchewan. The school provides students and faculty the opportunity to work on contemporary public policy and administration challenges in an academic environment renowned for innovation and is fast becoming a destination for students from across the country and around the world.",Public Administration,
150,['Cleveland State University'],United States,http://www.mastersportal.eu/studies/77930/public-administration.html,,,,,,905,USD,credit,78,The Master of Public Administration program's mission is to advance intellectual and administrative leadership in public administration by preparing students to assume the challenges of public service. Course work gives a diverse student body a foundation in general public administration and specialized skills grounded in one of the program's areas of expertise.,Public Administration,
151,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74850/public-administration-option-in-public-works-administration.html,,24,months,,,,,,61,"The Center offers the Master of Public Administration degree; options in the degree program include Public Works Administration and Urban Affairs; and graduate certificate programs in Urban Executive Management, Public Management Analyst, Employer-Employee Relations and Personnel Management, Public Sector Financial Management, and Transportation Policy and Planning.",Public Administration - Option in Public Works Administration,
152,['James Madison University'],United States,http://www.mastersportal.eu/studies/131309/public-administration.html,,,,,,1135,USD,module,88,"The MPA program of James Madison University promotes engaged citizenship and public service responsive to diverse needs and perspectives. The program cultivates effective and ethical analysts, managers and leaders for work in local, national and global contexts.",Public Administration (Concentration in Management in International Nongovernmental Organizations),
153,['Charles Sturt University'],Australia,http://www.mastersportal.eu/studies/138113/customs-administration.html,,18,months,,,,,,80,Charles Sturt University’s Master of Customs Administration provides professionals with advanced theoretical and technical knowledge in the field of customs and border management. This course has an international focus making it suitable for professionals from around the world. It is delivered by the Centre for Customs and Excise Studies (CCES).,Customs Administration,
154,['James Madison University'],United States,http://www.mastersportal.eu/studies/131311/public-administration.html,,,,,,1135,USD,module,88,"The MPA program of James Madison University promotes engaged citizenship and public service responsive to diverse needs and perspectives. The program cultivates effective and ethical analysts, managers and leaders for work in local, national and global contexts.",Public Administration (Concentration in Nonprofit Management),
155,['Concordia University Montréal'],Canada,http://www.mastersportal.eu/studies/61312/public-policy-and-public-administration.html,ma,24,months,,,17670,USD,year,90,The Master of Arts in Public Policy and Public Administration is an innovative two-year program that blends scholarly and vocational values. It focuses on Canadian and comparative public policy and administration with an emphasis on the study of politics and public policy/public administration. Our Masters in Public Policy and Public Administration (MPPPA) offers an internship option for students interested in pursuing a career in the public service and non-governmental organizations.,Public Policy and Public Administration,
156,"['Sawyer Business School', 'Suffolk University']",United States,http://www.mastersportal.eu/studies/66412/public-administration.html,,,,,,,,,80,"The faculty link analytical curriculum requirements with “real-world” cases to give you a practical education that represents the cutting edge in public management practice. What you learn in the classroom Monday night, you can bring to the office Tuesday morning.",Public Administration (Certificate of Advanced Study),
157,['Southern Illinois University'],United States,http://www.mastersportal.eu/studies/95686/public-administration.html,,12,months,,,34530,USD,year,80,"The Master of Public Administration (MPA) program prepares students for entry into managerial, administrative, and other professional careers in the government and nonprofit sectors",Public Administration,
158,['University of Central Arkansas'],United States,http://www.mastersportal.eu/studies/189311/college-student-personnel-services-and-administration.html,msc,48,months,,,612,USD,credit,79,The Master of Science program in College Student Personnel Services and Administration provides professional preparation for students seeking student services positions in both two-year and four-year postsecondary institutions. ,College Student Personnel Services and Administration,
159,['University of Michigan'],United States,http://www.mastersportal.eu/studies/78170/public-administration.html,,10,months,,,41384,USD,year,84,"Whether pursuing an undergraduate or graduate degree, when you apply to the Ford School of Public Policy, you choose a path of leadership and service. You choose to be an active participant in public decisions—decisions that affect your neighborhood, your community, your country, and people around the globe. You choose to analyze problems, seek solutions, collaborate for change, and advocate for your community.",Public Administration,
160,['Mississippi State University'],United States,http://www.mastersportal.eu/studies/67484/school-administration.html,msc,14,months,,,1021,USD,year,53,"Mississippi State University, School Administration - The faculty in the Department of Leadership and Foundations are dedicated to their disciplines through teaching, advising, research, service, and outreach.",School Administration,
161,['Arizona State University'],United States,http://www.mastersportal.eu/studies/132205/public-administration.html,,24,months,,,29560,USD,year,80,"The mission of the ASU MPA program is to prepare a new generation of public service professionals that can successfully address problems of democratic governance in public administration at the local, state and national levels. We expect our graduates to serve the public through their work in neighborhoods and communities, in urban regions, nationally and globally. ",Public Administration,
162,"['Northeastern University', 'College of Social Sciences & Humanities']",United States,http://www.mastersportal.eu/studies/51697/public-administration.html,,12,months,,,,,,,"Our Master of Public Administration Program is designed to prepare students to be leaders and managers in the public and non-profit sectors. The program combines theoretical foundations with practical skills to prepare students to be effective in a dynamic and increasingly diverse public affairs environment. Students have the option to take courses online, on-campus, or through a combination of the two.",Public Administration,
163,['West Chester University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/188070/public-administration-nonprofit-administration-concentration.html,,,,,,10875,USD,year,80,The mission of the Department of Public Policy and Administration at West Chester University is to provide high quality accessible public service education for a diverse group of emerging and existing public service leaders. ,Public Administration - Nonprofit Administration Concentration,
164,['Barry University'],United States,http://www.mastersportal.eu/studies/167742/public-administration-nonprofit.html,,,,,,990,USD,credit,79,"Wilson’s words ring true, because the MPA Program is the Barry University gateway of democracy and scholarship to the Public Administration graduate experience. Scholarship is the pursuit of knowledge and truth, which resonates with the authentic Dominican heritage. The pursuit of truth necessitates comprehensive steadfast commitment to serve a particular society and culture. ",Public Administration - Nonprofit,
165,['University of Alaska Anchorage'],United States,http://www.mastersportal.eu/studies/163971/public-administration.html,msc,,,,,16326,USD,year,79,"Students specialize in one of the following emphasis areas: public management, public policy analysis, health administration or criminal justice. Dual emphasis areas can also be pursued.",Public Administration,
166,['Virginia Commonwealth University'],United States,http://www.mastersportal.eu/studies/118266/public-administration.html,,24,months,,,,,,,The Master of Public Administration program’s mission supports a “generalist” conception of public administration. This seems quite appropriate as the students come from diverse academic and employment backgrounds and find jobs in a wide variety of government and nonprofit organizations.,Public Administration (Generalist Curriculum),
167,['Victoria University of Wellington'],New Zealand,http://www.mastersportal.eu/studies/109460/e-government.html,,18,months,,,28008,USD,year,90,"e-Government is a growing area. As our world becomes increasingly connected through ICT, governments need skilled professionals who understand how to manage the impact of these ever-evolving technologies.",e-Government,
168,['George Mason University'],United States,http://www.mastersportal.eu/studies/102477/social-entrepreneurship.html,ma,24,months,,,24170,USD,year,,"This concentration promotes advanced scholarship that transcends traditional disciplinary boundaries. Students combine required coursework in social entrepreneurship, management, public policy, public and international affairs, and leadership with courses aimed at individual student’s areas of specialization and hands on learning activities.",Social Entrepreneurship,
169,['Queen Mary University of London'],United Kingdom,http://www.mastersportal.eu/studies/165703/public-services.html,mres,12,months,,,17800,GBP,full,100,"The Public Services MRes is a pre-doctoral training programme designed to provide a critical, research led approach to the study of aspects of public services around the world, together with training in the key research skills appropriate for Doctoral level study. ",Public Services,
170,['Tsinghua University'],China,http://www.mastersportal.eu/studies/74709/public-administration-in-international-development.html,msc,,,120,,12000,EUR,year,,"Launched in 2007, the Master of Public Administration in International Development (MID) degree program a is a two-year Master’s Degree program designed to prepare students with a strong academic and practical foundation to become active global citizens and professionals of China’s development. In 2009, the program was selected by the Master’s of Development Practice (MDP) program, as the first one of eleven universities worldwide, and the only one in China.

With the integration of the School of Public Policy and Management’s resources, almost 40 courses will be offered in a two-year degree program. Students can either choose the curriculum track of International Development or Chinese Public Affairs.",Public Administration in International Development,
171,"['Política y Sociedad', 'Universitat Autònoma de Barcelona']",Spain,http://www.mastersportal.eu/studies/147953/gestin-pblica.html,,12,months,60,,75,EUR,credit,,"El máster de Gestión Pública ofrece dos orientaciones: investigadora y profesionalizadora. Tiene su origen en el máster que, con el mismo nombre, puso en marcha la UAB como título propio en el curso 1989-90 i que en 1997 se transformó en interuniversitario.",Gestión pública,
172,['Texas Southern University'],United States,http://www.mastersportal.eu/studies/192464/public-administration.html,,24,months,,,1110,USD,credit,,The Master of Public Administration (MPA) Program has as its purpose the preparation of professionals for immediate upward mobility in professional careers in public sectors or forgraduate study where the nature of the profession requires the master’s degree as the entry criterion. ,Public Administration,
173,['Ohio State University'],United States,http://www.mastersportal.eu/studies/73778/public-policy-and-management-master-public-administration.html,,24,months,,,35987,USD,year,100,"The rigorous, hands-on curriculum provided by the Glenn College will give you the skills and tools you need to thrive in careers at all levels of government and in the not-for-profit sector.",Public Policy and Management - Master Public Administration,
174,['Kean University'],United States,http://www.mastersportal.eu/studies/172569/public-administration-non-profit-management.html,,24,months,,,784,USD,credit,80,This concentration prepares graduates for administrative management positions in nonprofit organizations and other organizations that regulate or fund nonprofit organizations. The program provides students with opportunities in the classroom and in the field to acquire the knowledge and skills necessary to become an effective pro­gram administrator.,Public Administration - Non-Profit Management,
175,['University Paris Dauphine'],France,http://www.mastersportal.eu/studies/100886/public-action-and-social-regulations.html,,24,months,120,,261,EUR,year,,"Students enjoy an exceptional environment at Dauphine due to its human scale and consolidation on a single site for all types of activities: educational, scientific, associative. Many conferences, cultural events and festivals, and community life rhythm of daily life and provide many opportunities to broaden their scientific training to culture and sports.",Public Action and Social Regulations,
176,['Tsinghua University'],China,http://www.mastersportal.eu/studies/68915/master-of-public-administration-in-international-development.html,,24,months,,,17392,USD,full,85,"Launched in 2007, the Master of Public Administration in International Development (MID) degree program at Tsinghua University’s School of Public Policy and Management is a two-year MPA program. It is designed to deliver a strong academics and practical foundation for students to become active global citizens and specialists in Chinese development.",Master of Public Administration in International Development,
