,Country,CourseLink,CourseName,Duration,From,International Entry Req,The World Rank,Tuition fees,University,Venue
42, Ireland,https://www.hotcoursesabroad.com/india/course/ireland/phd-doctor-of-philosophy-biotechnology/56859010/program.html?nationCode=87&nationCntryCode=87,PhD - Doctor of Philosophy in Biotechnology,"Full Time
(3 Years)",11-Sep-17,"To be eligible to enter one of UCD’s PhD programmes, a candidate must have reached a high honours standard at the examination for the primary degree. In some cases, a Master’s degree may also be required. In certain cases, a candidate may be able to provide other evidence to the School in order to satisfy the entry requirements of the programme.
Other English language requirements: A minimum score of 600 in the paper-based Test of English as a Foreign Language (TOEFL PBT), with Test of Written English at 475 +; In the computer based TOEFL, a minimum score of 250 is required.", 201,"€13,100.00 (9,51,745) 
per year",University College Dublin,"UCD College of Science

Room E1 09, UCD O'Brien Centre for Science,
University College Dublin,
BELFIELD,
Dublin,
 Republic of Ireland"
43, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-m-s-entrepreneurship-applied-technologies-and-master-of-science-biotechnology-m-s-dual-degree/53490570/program.html?nationCode=87&nationCntryCode=87,Master of Science (M.S.) in Entrepreneurship in Applied Technologies and Master of Science in Bio ...,"Full Time
(5 years)",To be confirmed,"Applicants should have a bachelor's degree or equivalent from regionally accredited institution; a 'B' (3.0 on a 4.0 scale) average in all upper division work; GMAT score of 500 or higher and scores from GRE, LCAT or MCAT tests. International students whose native language is not English or who have not earned a degree in the United States must present test scores earned within two years of the desired term of entry for TOEFL - a minimum total score of 79 on the internet-based test, 213 on the computer-based test, or 550 on the paper-based test or IELTS exam with a minimum total score of 6.5. The TOEFL/IELTS requirement may be waived if the applicant: has scored 153 (new scale) or 500 (old scale) or higher on the GRE verbal test or has earned a college degree at a U.S. institution of higher learning, or has earned a college degree from an institution whose language of instruction is English (must be noted on an official document from an approved officer of the institution).", 201,"$21,127.00 (13,60,558) 
per year	
$21,127/year for master degree. This is the/year fee for regular masters degree and is offered as a guide",University of South Florida,"College of Business, Center for Entrepreneurship

4202 E Fowler Avenue,
BSN 3403,
TAMPA,
Florida,
33620, United States"
44, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology-m-s-b-and-master-of-science-entrepreneurship-applied-technologies-m-s-dual-degree/53495268/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology (M.S.B.) and Master of Science in Entrepreneurship in Applied ...,"Full Time
(3 years)",To be confirmed,"Students should have a bachelor's degree with minimum a GPA of 3.0 on a 4.0 scale; a minimum GRE test score of at least 1000 (verbal and quantitative), or MCAT 20 pt. International students whose native language is not English or who have not earned a degree in the United States must present test scores earned within two years of the desired term of entry for TOEFL - a minimum total score of 79 on the internet-based test, 213 on the computer-based test, or 550 on the paper-based test or IELTS exam with a minimum total score of 6.5. The TOEFL/IELTS requirement may be waived if the applicant: has scored 153 (new scale) or 500 (old scale) or higher on the GRE verbal test or has earned a college degree at a U.S. institution of higher learning, or has earned a college degree from an institution whose language of instruction is English (must be noted on an official document from an approved officer of the institution).", 201,"$21,127.00 (13,60,558) 
per year	
$21,127/year for master degree. This is the/year fee for regular masters degree and is offered as a guide",University of South Florida,"Morsani College of Medicine, Department of Molecular Medicine

12901 Bruce B Downs Blvd,
MDC 7,
TAMPA,
Florida,
33612, United States"
45, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology-m-s-b-degree/5294/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology (M.S.B.) Degree,"Full Time
(36 credit hours)",To be confirmed,"Students should have a bachelor's degree with minimum a GPA of 3.0 on a 4.0 scale; a minimum GRE test score of at least 1000 (verbal and quantitative), or MCAT 20 pt. International students whose native language is not English or who have not earned a degree in the United States must present test scores earned within two years of the desired term of entry for TOEFL - a minimum total score of 79 on the internet-based test, 213 on the computer-based test, or 550 on the paper-based test or IELTS exam with a minimum total score of 6.5. The TOEFL/IELTS requirement may be waived if the applicant: has scored 153 (new scale) or 500 (old scale) or higher on the GRE verbal test or has earned a college degree at a U.S. institution of higher learning, or has earned a college degree from an institution whose language of instruction is English (must be noted on an official document from an approved officer of the institution).", 201,"$21,127.00 (13,60,558) 
per year",University of South Florida,"Morsani College of Medicine, Department of Molecular Medicine

12901 Bruce B Downs Blvd,
MDC 7,
TAMPA,
Florida,
33612, United States"
46, New Zealand,https://www.hotcoursesabroad.com/india/course/newzealand/master-of-applied-science-mappsc-molecular-biotechnology/56763654/program.html?nationCode=87&nationCntryCode=87,Master of Applied Science (MAppSc) in Molecular Biotechnology,"Full Time
(1 year)",26-Feb-18,"Admission to the programme shall be subject to the approval of the Pro-Vice-Chancellor (Sciences). Every applicant shall have fulfilled one of the following conditions: be a graduate and have achieved an average grade of at least B in the relevant 300-level papers; have obtained a Postgraduate Certificate or a Postgraduate Diploma in Applied Science with an average grade of at least B; have equivalent alternative qualifications or experience acceptable to the Pro-Vice-Chancellor (Sciences). In considering an applicant's qualifications, regard will be had to the detail of the course of study followed to gain the qualification, as well as the applicant's performance in the programme. Other English Language Requirements: Paper-based TOEFL (Test of English as a Foreign Language) score of 587 (TWE 4.5); Cambridge Certificate of Proficiency in English (CPE) – Overall score of 176 (with no individual band below 169); Cambridge Certificate in Advanced English (CAE) – Overall score of 176 (with no individual band below 169); APIEL Advanced Placement International English Language Examination - Grade 4 or higher; Pearson Test of English (PTE) Academic - Overall score of 64 with no communicative skills score below 57; University of Otago Foundation Studies Ltd: Completion of 'English for Postgraduate Academic Purposes' with a grade of C or higher.", 201,"NZ$50,550.00 (23,26,928) 
per year",University of Otago,"University of Otago

Dunedin Campus,
362 Leith Street,
DUNEDIN,
North Dunedin,
9016, New Zealand, South Island"
47, UK,https://www.hotcoursesabroad.com/india/course/uk/bio-business-msc/56641232/program.html?nationCode=87&nationCntryCode=87,Bio-business MSc,"Full Time
(1 year)",Oct-17,"Students whose first language is not English or who have not previously studied in English, our usual requirement is the equivalent of an International English Language Testing System (IELTS Academic Test) score of 6.5, with not less than 6.0 in each of the sub-tests.", 201,"£15,950.00 (13,23,938) 
per year","Birkbeck, University of London","Birkbeck, Central London WC1

Malet Street,
Bloomsbury,
LONDON,
CAMDEN,
WC1E 7HX, United Kingdom"
48, Ireland,https://www.hotcoursesabroad.com/india/course/ireland/msc-biotechnology/52637756/program.html?nationCode=87&nationCntryCode=87,MSc (Biotechnology),"Full Time
(1 year)",05 Sep,"Candidates must hold at least a Second Class Honours, Level 8 (or equivalent international qualification) primary degree in Science or a related subject, with a strong background in Biological Sciences.", 201,"€13,750.00 (9,98,969) 
per year","National University of Ireland, Galway","College of Science

National University of Ireland, Galway,
University Road,
Galway,
 Republic of Ireland"
49, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ms-biotechnology/102452/program.html?nationCode=87&nationCntryCode=87,MS in Biotechnology,"Full Time
(2 years)",To be confirmed,"A minimum undergraduate grade-point average (GPA) of 3.00 (on a 4.00 scale) on the equivalent of the last 60 semester hours (approximately two years of work). International applicants must have a strong academic performance comparable to a ""B"" or above average grades. We use your institution's grading scale; do not convert your grades to a four point scale.", 45,"$25,208.00 (16,23,370) 
per year",University of Wisconsin - Madison,"College of Letters and Science, Department of Botany

132 Birge Hall,
430 Lincoln Drive,
MADISON,
Wisconsin,
53706, United States"
50, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology/26469/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology,"Full Time
(2 years)","24-Jul-17, 19-Feb-18","A Bachelor degree or international equivalent with a minimum GPA of 5/7 in a cognate area. A cognate area consists of 8 courses with a minimum of 2 in chemistry.
All applicants must meet the University’s English Language Admission Requirements for Students
Applicants with a Bachelor Degree or Graduate Certificate in a cognate discipline may be eligible for 24 units (one semester) of credit.
Applicants with a Graduate Diploma or Honours in a cognate discipline may be eligible for 48 units (one year) of credit.
Other English language requirements: TOEFL paper based test: A score of 600 with TWE score of 5.0; Cambridge CAE Advanced (Post 2015): 185 overall with a least 169 in all sub skills; Cambridge CAE Advanced (Pre 2015): 67 overall with all sub skills at borderline or higher; PTE Academic: Overall 70, minimum score of 60 in each section", 47,"A$39,024.00 (18,70,428) 
per year",Australian National University,"Australian National University

AUSTRALIAN NATIONAL UNIVERSITY,
Australian Capital Territory,
0200, CANBERRA, Australia"
51, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-advanced/55750802/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (Advanced),"Full Time
(2 years)","24-Jul-17, 19-Feb-18","A Bachelor degree or international equivalent in a cognate discipline with a minimum GPA of 5.5/7, the approval of an identified supervisor for the research project/thesis and 2 courses in chemistry
All applicants must meet the University’s English Language Admission Requirements for Students.
Applicants with a Bachelor Degree or Graduate Certificate in a cognate discipline may be eligible for 24 units (one semester) of credit.
Applicants with a Graduate Diploma or Honours in a cognate discipline may be eligible for 48 units (one year) of credit.
Students must achieve a minimum 70% average mark in the first 48 units of coursework and have the approval of the supervisor for the research project.
Students who do not achieve a minimum 70% average mark in the first 48 units of coursework or have the approval of the supervisor for the research project will be transferred to the Master of Biotechnology program.
Other English language requirements: TOEFL paper based test: A score of 600 with TWE score of 5.0; Cambridge CAE Advanced (Post 2015): 185 overall with a least 169 in all sub skills; Cambridge CAE Advanced (Pre 2015): 67 overall with all sub skills at borderline or higher; PTE Academic: Overall 70, minimum score of 60 in each section", 47,"A$39,024.00 (18,70,428) 
per year",Australian National University,"Australian National University

AUSTRALIAN NATIONAL UNIVERSITY,
Australian Capital Territory,
0200, CANBERRA, Australia"
52, Hong Kong,https://www.hotcoursesabroad.com/india/course/hongkong/master-of-science-msc-biotechnology/54673778/program.html?nationCode=87&nationCntryCode=87,Master of Science (MSc) in Biotechnology,"Full Time
(1 year)",01-Sep-17,"Applicants should normally possess a first degree in Biological Science or a related area. They should have a proven record of good performance, be proficient in English and must demonstrate basic knowledge in biotechnology concerns. Admission to the program is based on the recommendation by the Committee on MSc Program in Biotechnology.
Other English language requirement: Paper-based test (PBT) - Score: 550.", 49,"HK$108,000.00 (8,93,063) 
per year",Hong Kong University of Science and Technology,"Hong Kong University of Science and Technology

Clear Water Bay,
 Sai Kung, Hong Kong, Kowloon"
53, USA,https://www.hotcoursesabroad.com/india/course/us-usa/doctor-of-philosophy-phd-biotechnology/56577036/program.html?nationCode=87&nationCntryCode=87,Doctor of Philosophy (PhD) in Biotechnology,"Full Time
(Variable)","07 Sep, 25 Jan",Students who enter a PhD program at Brown already holding a master’s degree in a related field have a residency requirement equivalent to two Academic Years of full-time study upon entering the PhD program at Brown. Other language requirements are a TOEFL score of 577 on the Paper based test., 51,"$50,224.00 (32,34,375) 
per year",Brown University,"Division of Biology and Medicine

Brown University,
91 Waterman Street,
PROVIDENCE,
Rhode Island,
02912, United States"
54, USA,https://www.hotcoursesabroad.com/india/course/us-usa/m-s-biotechnology/56577000/program.html?nationCode=87&nationCntryCode=87,M.S. in Biotechnology,"Full Time
(Variable)","07 Sep, 25 Jan",Student must have bachelor's degree. Other language requirements are a TOEFL score of 577 on the Paper based test., 51,"$50,224.00 (32,34,375) 
per year",Brown University,"Division of Biology and Medicine

Brown University,
91 Waterman Street,
PROVIDENCE,
Rhode Island,
02912, United States"
55, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-and-enterprise-msc/52435154/program.html?nationCode=87&nationCntryCode=87,Biotechnology and Enterprise MSc,"Full Time
(12 months)",01-Sep-17,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 55,"£23,000.00 (19,09,127) 
per year",The University of Manchester,"The University of Manchester

Oxford Road,
Manchester,
Greater Manchester,
M13 9PL, England"
56, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-and-enterprise-phd/56140014/program.html?nationCode=87&nationCntryCode=87,Biotechnology and Enterprise PhD,"Full Time
(42 months)",01-Sep-17,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 55,"£33,500.00 (27,80,684) 
per year",The University of Manchester,"The University of Manchester

Oxford Road,
Manchester,
Greater Manchester,
M13 9PL, England"
57, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-mphil/52434010/program.html?nationCode=87&nationCntryCode=87,Biotechnology MPhil,"Full Time
(12 months)",01-Sep-17,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 55,"£33,500.00 (27,80,684) 
per year",The University of Manchester,"The University of Manchester

Oxford Road,
Manchester,
Greater Manchester,
M13 9PL, England"
58, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-phd/52434186/program.html?nationCode=87&nationCntryCode=87,Biotechnology PhD,"Full Time
(36 months)",01-Sep-17,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 55,"£33,500.00 (27,80,684) 
per year",The University of Manchester,"The University of Manchester

Oxford Road,
Manchester,
Greater Manchester,
M13 9PL, England"
59, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/master-of-science-nanobiology/56239386/program.html?nationCode=87&nationCntryCode=87,Master of Science in Nanobiology,"Full Time
(2 Years)",01 Sep,"Students must have a good university bachelor's degree in a main subject closely related to the MSc programme to which they are applying, with good grades on the key courses or a proof that they have nearly completed a bachelor's programme in a main subject which is closely related to the MSc programme to which they are applying, with good grades on the key courses, cumulative Grade Point Average (CGPA) of at least 75 per cent of the scale maximum. They must have a TOEFL (Test of English as a Foreign Language) score of at least 90 (internet-based test) or IELTS (academic version) overall Band score of at least 6.5 or proof that they have passed the University Of Cambridge Certificate Of Proficiency in English or the University of Cambridge Certificate in Advanced English.", 59,"€15,000.00 (10,89,785) 
per year",Delft University of Technology,"Faculty of Applied Sciences

Postbus 5,
DELFT,
Zuid-Holland,
2600 AA, Netherlands"
60, Australia,https://www.hotcoursesabroad.com/india/course/australia/graduate-certificate-biotechnology-5013/832280/program.html?nationCode=87&nationCntryCode=87,Graduate Certificate in Biotechnology (5013),"Full Time
(0.5 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have a Bachelor degree in any field, with UQ or equivalent GPA of 4.5 or above on a 7 point scale; or 2 years of work experience in the same discipline. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"AUD $18,344 for the entire course.",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
61, Australia,https://www.hotcoursesabroad.com/india/course/australia/graduate-diploma-biotechnology-5119/833361/program.html?nationCode=87&nationCntryCode=87,Graduate Diploma in Biotechnology (5119),"Full Time
(1 year)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have a Bachelor degree in any field or Graduate Certificate in Biotech, with UQ or equivalent GPA of 4.5 or above on a 7 point scale. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
62, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-5159/55136328/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (5159),"Full Time
(1.5 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have an approved equivalent Bachelor degree in Biotechnology, Science, Bioinformatics, Pharmacy, Agriculture, Medicine or Engineering, with UQ or equivalent GPA of 5 or above on a 7 point scale OR Graduate Certificate or Graduate Diploma in Biotechnology. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
63, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-5386/97397/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (5386),"Full Time
(1 year)","24-Jul-17, 19-Feb-18, 23-Jul-18","Students must have completed Bachelor's degree (Honors) in Biotechnology, Science, Pharmacy, Agriculture, Medicine, Engineering (particularly chemical engineering), IT, or an approved discipline plus a postgraduate qualification incorporating a major research project or other significant research experience. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
64, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-5599/55697320/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (5599),"Full Time
(2 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have a Bachelor degree in any field, with UQ or equivalent GPA of 5 or above on a 7 point scale. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
65, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-research-extensive-5626/55861928/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology Research Extensive (5626),"Full Time
(1.5 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have an approved equivalent Bachelor degree (Honours) in Biotechnology, Science, Bioinformatics, Pharmacy, Engineering; or a Bachelor degree in a relevant field incorporating a major research project; or with an additional postgraduate qualification incorporating a major research project or other significant research experience and UQ or equivalent GPA of 5 or above on a 7 point scale. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
66, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology-research-extensive-5627/55861930/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology Research Extensive (5627),"Full Time
(2 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have an approved equivalent Bachelor degree in Biotechnology, Science, Bioinformatics, Pharmacy, Agriculture, Medicine or Engineering, with UQ or equivalent GPA of 5 or above on a 7 point scale OR Graduate Certificate or Graduate Diploma in Biotechnology. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading.", 60,"A$36,688.00 (17,58,463) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
67, Australia,https://www.hotcoursesabroad.com/india/course/australia/doctor-of-biotechnology-7601/55862480/program.html?nationCode=87&nationCntryCode=87,Doctor of Biotechnology (7601),"Full Time
(3 years)","24-Jul-17, 19-Feb-18, 23-Jul-18",Students must have completed bachelor of science or bachelor of biotechnology with class i or IIA honors from UQ or equivalent or coursework masters with approved results in the research component and a grade point average of 5.5 on a 7 point scale or at least 2 years relevant professional experience and/or research publications. They should also satisfy the other English language requirements: PTE: overall score of 64 with 60 in each communicative skills section; Certificate of Advanced English (CAE): a grade of C (58); Certificate of Proficiency in English (CPE): a grade of C (45) or better; TOEFL (Paper-based): overall score of 570 and a minimum score of 5.0 in the Test of Written English (TWE) and 54 in Listening and Reading., 60,"A$35,520.00 (17,02,481) 
per year	
AUD $8,880 per research quarter",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
68, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-technology-and-innovation-management-5355-specialisation-biotechnology/52469088/program.html?nationCode=87&nationCntryCode=87,Master of Technology and Innovation Management (5355) Specialisation in Biotechnology,"Full Time
(1.5 years)","24-Jul-17, 19-Feb-18, 23-Jul-18","Applicants must have a Bachelor degree or equivalent in the same discipline as approved by the Executive Dean with a GPA of at least 4.50 on a 7 point scale; OR Bachelor degree or equivalent with a GPA of at least 4.50 on a 7 point scale and three years full-time work experience in the same discipline as approved by the Executive Dean; OR Graduate Certificate in Technology and Innovation Management from UQ or equivalent with a GPA of at least 4.50 on a 7 point scale. They should also satisfy the English language requirements: IELTS (overall score of 6.5; writing, reading, speaking and listening score of 6); TOEFL - (Paper based score of 570; TWE (Test of written English) score of 5; listening and reading score of 54); TOEFL - (Internet Based (iBT) overall score of 87; writing score of 21; speaking, listening and reading score of 19); Pearson’s Test of English (PTE) - minimum score of 64 (a minimum 60 in each communicative skills section).", 60,"A$38,160.00 (18,29,016) 
per year",Faculty of Science,"The University of Queensland

St Lucia Campus,
UNIVERSITY OF QUEENSLAND,
Queensland,
4072, BRISBANE, Australia"
69, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-cellular-and-molecular-biotechnology/52749246/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Cellular and Molecular Biotechnology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
70, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-environmental-and-biobased-technology/56544890/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Environmental and Biobased Technology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
71, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-food-biotechnology/56544878/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Food Biotechnology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
72, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-marine-biotechnology/56544896/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Marine Biotechnology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
73, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-medical-biotechnology/56544884/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Medical Biotechnology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
74, Netherlands,https://www.hotcoursesabroad.com/india/course/netherlands/msc-biotechnology-process-technology/56544874/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology - Process Technology,"Full Time
(2 Years)","01 Sep, 20 Feb","Students who want to enroll the MSc program of Biotechnology at Wageningen University must have: At least a BSc degree of equivalent in biotechnology, (molecular) biology, biochemistry, life sciences, chemical engineering, environmental technology or a related study A Grade Point Average (GPA) for this BSc of at least 70% of the maximum grade, Proof of English proficiency, Good skills in mathematics, Basic computer skills.
Other English language requirement: TOEFL - Paper based 550.", 65,"€16,600.00 (12,06,028) 
per year	
Tuition Fee for year2 is €16,800. Total cost for the course is €33,400",Wageningen University and Research Centre,"Wageningen University and Research Centre

Forum Building No 102,
Droevendaalsesteeg 2,
WAGENINGEN,
Gelderland,
6708 PB, Netherlands"
